stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
100002,Government at Belleville (SB),48.4197359959543,-123.36899900004902,100002,0,,Government at Belleville (SB)
100003,Legislature Terminus Bay D,48.4191409951258,-123.368942000504,100003,0,,Legislature Terminus Bay D
100004,Superior at Government (WB),48.418291995633794,-123.36934899983201,100004,0,,Superior at Government (WB)
100005,Belleville at Douglas (WB),48.4204889953388,-123.367333000671,100005,0,,Belleville at Douglas (WB)
100008,Superior at Menzies (WB),48.4182609956643,-123.37280100042202,100008,0,,Superior at Menzies (WB)
100009,Patrica Bay at Haliburton (SB),48.513949995793496,-123.384454999615,100009,0,,Patrica Bay at Haliburton (SB)
100010,Douglas at Humboldt (NB),48.421894798967095,-123.365955637636,100010,0,,Douglas at Humboldt (NB)
100011,Menzies at Superior (SB),48.4178419956748,-123.372634999476,100011,0,,Menzies at Superior (SB)
100012,Douglas at Elliot Street (NB),48.4192229952796,-123.365871000661,100012,0,,Douglas at Elliot Street (NB)
100013,Menzies at Michigan (NB),48.417167995731596,-123.372808000388,100013,0,,Menzies at Michigan (NB)
100014,Gordon Head at San Juan (SB),48.4793362150567,-123.307612086217,100014,0,,Gordon Head at San Juan (SB)
100015,Humboldt at Penwell (SB),48.421551459635005,-123.36541798647801,100015,0,,Humboldt at Penwell (SB)
100016,Sooke at Townsend (EB),48.378369995114596,-123.72204499969101,100016,0,,Sooke at Townsend (EB)
100017,Burdett at Douglas (EB),48.42204399515929,-123.365447999807,100017,0,,Burdett at Douglas (EB)
100018,Sooke 5250 block (EB),48.3890279955025,-123.642836999826,100018,0,,Sooke 5250 block (EB)
100019,Douglas at Courtney (SB),48.422728995761,-123.365950999559,100019,0,,Douglas at Courtney (SB)
100021,Superior at Oswego (EB),48.419391995574195,-123.376034000576,100021,0,,Superior at Oswego (EB)
100022,Menzies at Michigan (SB),48.4166049954219,-123.373333000423,100022,0,,Menzies at Michigan (SB)
100024,Blanshard Terminus Bay B,48.4212219958701,-123.363362000454,100024,0,,Blanshard Terminus Bay B
100025,Blanshard Terminus Bay A ,48.421880995497695,-123.364069999631,100025,0,,Blanshard Terminus Bay A
100026,Government at Broughton (NB),48.424058995716,-123.367950000611,100026,0,,Government at Broughton (NB)
100028,Fort at Langley (EB),48.424947995069004,-123.36890499938,100028,0,,Fort at Langley (EB)
